,Smiles,MW,LogP,NumHDonors,NumHAcceptors
45,O=C1N(CC(O)Cn2c3ccc(F)cc3c3cc(F)ccc32)CCCN1c1ccccc1,435.4740000000002,4.765900000000004,1,3
46,CC(C)=CCN1CCn2c(O)nc3cc(Cl)cc(c32)C1CC(C)C,347.89000000000016,4.764300000000005,1,4
47,CC1(C)C(=O)N(C2CCCCC2)c2nc(Nc3cccnc3)ncc21,337.427,3.5721000000000016,1,5
48,CC(C)(C)OC(=O)NC[C@H]1CCCN(C(=O)[C@@H]2CCC(=O)N2Cc2ccc(Br)cc2)C1,494.4300000000002,3.703400000000003,1,4
49,C(=N/Nc1nc(-c2ccc3ccccc3c2)cs1)\c1ccc2c(c1)OCO2,373.4370000000002,5.138000000000003,1,6
50,COc1ccc(Cl)cc1NC(=O)C1Cc2ccccc2CN1S(C)(=O)=O,394.88000000000017,2.6736000000000004,1,4
51,Cc1nn(C)c(C)c1NS(=O)(=O)c1ccc(-c2cccc(CN3CCN(C)CC3)c2)cc1,453.61200000000025,3.2521400000000016,1,6
52,O=C(COC(=O)/C=C/c1ccccc1Cl)NCCc1ccc(Cl)cc1Cl,412.70000000000016,4.562100000000004,1,3
53,c1ccc(CNCC2CCC3(CC2)OOC2(CCCCC2)OO3)cc1,347.4550000000001,4.233100000000004,1,5
54,CN1CCN(c2ccccc2CNC(=O)Cc2ccccc2F)CC1,341.43000000000006,2.4364,1,3
55,N[C@H](CNc1nc(-c2ccncc2F)nc2ccsc12)Cc1ccccc1,379.4640000000001,3.8743000000000025,2,6
56,CN(C)Cc1c(O)ccc2oc(Cc3ccccc3)cc12,281.35499999999996,3.7908000000000026,1,3
57,CCOC(=O)[C@H](Cc1ccc(OCC2CO2)cc1)NC(=O)c1ccccc1,369.41700000000003,2.3684000000000003,1,5
58,Oc1cc(CCCc2ccccc2)ccc1CN1CCOCC1,311.4250000000001,3.399700000000002,1,3
59,CC(=O)OC/C(=C\C[C@H]1OC(=O)CC1CO)CC/C=C(\C)CCC1=C(C)CCCC1(C)C,446.6280000000003,5.823300000000007,1,5
60,Oc1cccc(-c2cc(-c3cccnc3)nc(-c3cccc(Cl)c3)c2)c1,358.8280000000001,5.836600000000005,1,3
61,CN(CCCCCc1c[nH]cn1)CCC(c1ccc(Cl)cc1)c1ccccn1,396.9660000000001,5.324900000000005,1,3
62,COC(=O)[C@]1(CC(C)C)N[C@H](c2ccc(-c3ccc(C(C)=O)cc3)cc2)[C@@H]2C(=O)N(C)C(=O)[C@@H]21,462.5460000000003,3.389400000000002,1,6
63,O=C(NCC1CCOCC1)c1cc2cccc(N3CCN(CCc4ccccn4)CC3)c2o1,448.56700000000035,3.348900000000002,1,6
64,CC[C@H](OC)[C@@H](C)[C@H]1O[C@@H]1[C@@H](O)[C@H](C)/C=C/C=C(\C)[C@H]1OC(=O)CCCCCC/C=C/[C@@H]1C,462.6710000000004,5.772700000000007,1,5
65,CCc1ccccc1NC(=O)CN(c1ccccc1OC)S(=O)(=O)c1ccc(C)cc1,438.54900000000015,4.400020000000004,1,4
66,CC(C)(C)NC(=O)Cc1ccc(Nc2nc(-c3ccccc3)nc3c2S(=O)(=O)CCC3)cc1,464.5910000000003,4.064300000000003,2,6
67,O=C(COC(=O)c1cc(O)nc2ccccc12)NC(=O)c1ccccc1,350.3300000000001,2.0538,2,6
68,COc1ccc(/C=C2/SC(NN3Cc4ccccc4N=C3c3ccccc3)=NC2=O)cc1,440.52800000000013,4.764200000000004,1,6
69,O=C(Nc1ccccc1)N1C(=O)C2(OCCO2)c2ccccc21,310.3089999999999,2.4649,1,4
70,CC[C@H]1[C@@H](O)CN1c1c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c2c1F,364.3480000000001,2.2723000000000004,2,5
71,COC1=C[C@H]2C3=C([C@H]2C1=O)[C@H](NC(C)=O)CCc1cc(OC)c(OC)c(OC)c13,399.4430000000002,2.2759,1,6
72,C=C[C@@]1(C)CC[C@@]2(C)[C@@H](CC[C@@]3(C)[C@@H]2C=C(O)C(=O)[C@@]32CO2)C1,316.4410000000001,4.195000000000003,1,3
73,O=C(CCCn1c(=O)[nH]c2ccc(Br)cc2c1=O)N1CCN(c2cccc(Cl)c2)CC1,505.8000000000003,3.234700000000002,1,5
74,Cc1nc(CN2CCCC(NCc3ccsc3)C2)no1,292.4080000000001,2.19372,1,6
75,N#C/C=C/c1ccc(Nc2ccc(F)c(Nc3ccc(C#N)cc3)n2)cc1,355.3760000000001,5.116360000000003,2,5
76,Fc1ccc(OCCCN2CCC(Nc3ccccc3)CC2)cc1,328.4310000000001,4.171100000000003,1,3
77,COc1ccc(-c2nc3ccc(I)cn3c2NC2CCCC2)cc1O,449.29200000000026,4.674600000000003,2,5
78,CNC[C@@H]1OCc2ccccc2[C@@H]1Oc1ccccc1F,287.334,3.064000000000001,1,3
79,O=C(N/N=C/c1cc(Br)cs1)c1ccc[nH]1,298.16499999999996,2.6026,2,3
80,CCc1nccc(-c2ccc(C(=O)N3CCN(C4CC4)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,469.56400000000025,3.747300000000002,1,5
81,C[C@H](C(=O)N[C@H]1N=C(c2ccccc2)c2ccccc2N(C)C1=O)[C@H](OCC(N)=O)c1ccc(Cl)c(Cl)c1,553.4460000000004,4.128800000000003,2,5
82,CCOC(=O)c1sc(=S)n(CC)c1NC(=O)C1CC1,300.4050000000001,2.8241900000000006,1,6
83,CCOc1ccc(CCNC(=O)C[S+]([O-])Cc2nc(-c3ccc(C)cc3)oc2C)cc1OCC,484.6180000000003,4.363440000000004,1,6
84,Cc1ccn2ncc(C#N)c(Nc3ccc(Oc4ccccc4)cc3)c12,340.386,5.050300000000004,1,5
85,C=CCN1CCN(C(=O)c2ccc(NCc3ccc(-c4cccc(F)c4C(=O)OC)cc3F)nc2)CC1,506.5530000000003,4.3693000000000035,1,6
86,Cl.NCCc1c[nH]c2ccc(OCCOc3ccc(Oc4ccccc4)cc3)cc12,424.9280000000001,5.341000000000004,2,4
87,CC1(C)CC[C@@H](C(=O)N2CCC[C@H]2C(=O)O)[C@H]1SC(=O)c1ccccc1,375.49000000000007,3.440400000000002,1,4
88,COc1cc2c(cc1OC)[C@H](Cc1c[nH]c3ccccc13)N(C(=O)c1nccs1)CC2,433.5330000000002,4.6239000000000035,1,5
