,Activity_ID,Quality,source,CID,SMILES,SMILES_Murcko,ligandtype,connectivity,InChIKey,InChI,InChI_AuxInfo,target_id,accession,Protein_Type,AID,doc_id,Year,all_doc_ids,all_years,type_IC50,type_EC50,type_KD,type_Ki,type_other,Activity_class,relation,pchembl_value,pchembl_value_Mean,pchembl_value_StdDev,pchembl_value_SEM,pchembl_value_N,pchembl_value_Median,pchembl_value_MAD,database
61,ZQLCCGNZHPPGNP_on_P41597_WT,High,ChEMBL30,CHEMBL1924013,O=C(NCCN1CCCCC1)c1ccc(Oc2ccc(Cl)cc2NS(=O)(=O)c2ccc(Cl)c(C(F)(F)F)c2)cc1,O=C(NCCN1CCCCC1)c1ccc(Oc2ccccc2NS(=O)(=O)c2ccccc2)cc1,allosteric,ZQLCCGNZHPPGNP,ZQLCCGNZHPPGNP-UHFFFAOYSA-N,"InChI=1S/C27H26Cl2F3N3O4S/c28-19-6-11-25(24(16-19)34-40(37,38)21-9-10-23(29)22(17-21)27(30,31)32)39-20-7-4-18(5-8-20)26(36)33-12-15-35-13-2-1-3-14-35/h4-11,16-17,34H,1-3,12-15H2,(H,33,36)","""AuxInfo=1/1/N:9,8,10,13,40,19,14,39,29,30,18,4,7,11,5,22,38,12,20,15,28,33,31,23,17,2,34,21,32,35,36,37,3,24,6,1,26,27,16,25/E:(2,3)(4,5)(7,8)(13,14)(30,31,32)(37,38)/CRV:40.6/rA:40OCNCCNCCCCCCCCCOCCCCClCCNSOOCCCCClCCFFFCCC/rB:d1;s2;s3;s4;s5;s6;s7;s8;s9;s6s10;s2;d12;s13;d14;s15;s16;d17;s18;d19;s20;s20;s17d22;s23;s24;d25;d25;s25;d28;s29;d30;s31;s31;s33;s34;s34;s34;s28d33;s15;s12d39;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;""",P41597_WT,P41597,WT,CHEMBL1925747;CHEMBL1925695,PMID:22047688,2011.0,PMID:22047688,2011,0.0,0.0,1;0,0;1,0,,=,  6.200;  8.000,7.1,0.9,0.9,2.0,7.1,0.9,papyrus
65,LUUMLYXKTPBTQR_on_P41597_WT,Medium,ChEMBL30,CHEMBL2178573,Cc1cc(NS(=O)(=O)c2cc(C(F)(F)F)c(Cl)cc2)c(C(=O)c2ncnc3c2cc[nH]3)nc1,O=C(c1ncccc1NS(=O)(=O)c1ccccc1)c1ncnc2[nH]ccc12,allosteric,LUUMLYXKTPBTQR,LUUMLYXKTPBTQR-UHFFFAOYSA-N,"InChI=1S/C20H13ClF3N5O3S/c1-10-6-15(29-33(31,32)11-2-3-14(21)13(7-11)20(22,23)24)17(26-8-10)18(30)16-12-4-5-25-19(12)28-9-27-16/h2-9,29H,1H3,(H,25,27,28)","""AuxInfo=1/1/N:1,19,18,29,30,3,10,33,25,2,9,28,11,16,4,23,20,21,27,12,17,13,14,15,31,32,24,26,5,22,7,8,6/E:(22,23,24)(31,32)/CRV:33.6/rA:33CCCCNSOOCCCCFFFCClCCCCOCNCNCCCCNNC/rB:s1;d2;s3;s4;s5;d6;d6;s6;d9;s10;s11;s12;s12;s12;d11;s16;s16;s9d18;d4;s20;d21;s21;d23;s24;d25;s26;s23d27;s28;d29;s27s30;s20;s2d32;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;""",P41597_WT,P41597,WT,CHEMBL2184881,PMID:22931505,2012.0,PMID:22931505,2012,1.0,0.0,0,0,0,,=,  8.300,8.3,0.0,0.0,1.0,8.3,0.0,papyrus
67,CDGRGHROXAGDDT_on_P41597_WT,Medium,ChEMBL30,CHEMBL2207101,O=S(=O)(Nc1cc(Cl)c(Cl)cc1Cn1ccnn1)c1cccc(C(F)(F)F)c1,O=S(=O)(Nc1ccccc1Cn1ccnn1)c1ccccc1,allosteric,CDGRGHROXAGDDT,CDGRGHROXAGDDT-UHFFFAOYSA-N,"InChI=1S/C16H11Cl2F3N4O2S/c17-13-6-10(9-25-5-4-22-24-25)15(8-14(13)18)23-28(26,27)12-3-1-2-11(7-12)16(19,20)21/h1-8,23H,9H2","""AuxInfo=1/0/N:21,22,20,16,15,11,28,6,13,12,23,19,9,7,5,24,10,8,25,26,27,17,4,18,14,1,3,2/E:(19,20,21)(26,27)/CRV:28.6/rA:28OSONCCCClCClCCCNCCNNCCCCCCFFFC/rB:d1;d2;s2;s4;d5;s6;s7;d7;s9;s9;s5d11;s12;s13;s14;d15;s16;s14d17;s2;d19;s20;d21;s22;s23;s24;s24;s24;s19d23;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;""",P41597_WT,P41597,WT,CHEMBL2213079,PMID:23079519,2012.0,PMID:23079519,2012,0.0,0.0,0,1,0,,=,  7.900,7.9,0.0,0.0,1.0,7.9,0.0,papyrus
68,DVBHCMNIFLHUIM_on_P41597_WT,Medium,ChEMBL30,CHEMBL2207088,O=S(=O)(Nc1cc(Cl)ccc1Cn1ccnn1)c1cccc(Cl)c1,O=S(=O)(Nc1ccccc1Cn1ccnn1)c1ccccc1,allosteric,DVBHCMNIFLHUIM,DVBHCMNIFLHUIM-UHFFFAOYSA-N,"InChI=1S/C15H12Cl2N4O2S/c16-12-2-1-3-14(8-12)24(22,23)19-15-9-13(17)5-4-11(15)10-21-7-6-18-20-21/h1-9,19H,10H2","""AuxInfo=1/0/N:20,21,19,10,9,15,14,24,6,12,11,22,7,18,5,23,8,16,4,17,13,1,3,2/E:(22,23)/CRV:24.6/rA:24OSONCCCClCCCCNCCNNCCCCCClC/rB:d1;d2;s2;s4;d5;s6;s7;d7;s9;s5d10;s11;s12;s13;d14;s15;s13d16;s2;d18;s19;d20;s21;s22;s18d22;/rC:;;;;;;;;;;;;;;;;;;;;;;;;""",P41597_WT,P41597,WT,CHEMBL2213079,PMID:23079519,2012.0,PMID:23079519,2012,0.0,0.0,0,1,0,,=,  7.000,7.0,0.0,0.0,1.0,7.0,0.0,papyrus
69,LOJNFRIYBAPNOH_on_P41597_WT,Medium,ChEMBL30,CHEMBL134072,O=C(O)c1cc2c(cc(F)cc2)n1Cc1cc(Cl)c(Cl)cc1,c1ccc(Cn2ccc3ccccc32)cc1,allosteric,LOJNFRIYBAPNOH,LOJNFRIYBAPNOH-UHFFFAOYSA-N,"InChI=1S/C16H10Cl2FNO2/c17-12-4-1-9(5-13(12)18)8-20-14-7-11(19)3-2-10(14)6-15(20)16(21)22/h1-7H,8H2,(H,21,22)","""AuxInfo=1/1/N:22,12,11,21,16,5,8,14,15,6,9,19,17,7,4,2,20,18,10,13,1,3/E:(21,22)/rA:22OCOCCCCCCFCCNCCCCClCClCC/rB:d1;s2;s2;d4;s5;d6;s7;d8;s9;s9;s6d11;s4s7;s13;s14;d15;s16;s17;d17;s19;s19;s15d21;/rC:;;;;;;;;;;;;;;;;;;;;;;""",P41597_WT,P41597,WT,CHEMBL655684,PMID:14698169,2004.0,PMID:14698169,2004,1.0,0.0,0,0,0,,=,  7.050,7.05,0.0,0.0,1.0,7.05,0.0,papyrus
70,MLYSUAYMCWSVRI_on_P41597_WT,High,ExCAPE-DB;ChEMBL30,49798436;CHEMBL1170829,O=C(O)c1ccc(Oc2ncc(Cl)cc2NS(=O)(=O)c2cc(Cl)c(Cl)cc2)cc1,O=S(=O)(Nc1cccnc1Oc1ccccc1)c1ccccc1,allosteric,MLYSUAYMCWSVRI,MLYSUAYMCWSVRI-UHFFFAOYSA-N,"InChI=1S/C18H11Cl3N2O5S/c19-11-7-16(23-29(26,27)13-5-6-14(20)15(21)8-13)17(22-9-11)28-12-3-1-10(2-4-12)18(24)25/h1-9,23H,(H,24,25)","""AuxInfo=1/1/N:5,29,6,28,27,26,14,21,11,4,12,7,20,24,22,15,9,2,13,25,23,10,16,1,3,18,19,8,17/E:(1,2)(3,4)(24,25)(26,27)/CRV:29.6/rA:29OCOCCCCOCNCCClCCNSOOCCCClCClCCCC/rB:d1;s2;s2;d4;s5;d6;s7;s8;d9;s10;d11;s12;s12;s9d14;s15;s16;d17;d17;s17;d20;s21;s22;d22;s24;s24;s20d26;s7;s4d28;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;""",P41597_WT,P41597,WT,PubChemAID:489703;CHEMBL1174375,PMID:20627722,2010.0,PubChemAID:489703;PMID:20627722,2010,0.0,0.0,0,0;1,1;0,,=,  8.500;  8.500,8.5,0.0,0.0,2.0,8.5,0.0,papyrus
71,OIGUMNDUYFBXEM_on_P41597_WT,High,ExCAPE-DB;ChEMBL30,49798349;CHEMBL1171786,O=C(O)c1ccccc1Oc1ccc(Cl)cc1NS(=O)(=O)c1ccc(Cl)c(Cl)c1,O=S(=O)(Nc1ccccc1Oc1ccccc1)c1ccccc1,allosteric,OIGUMNDUYFBXEM,OIGUMNDUYFBXEM-UHFFFAOYSA-N,"InChI=1S/C19H12Cl3NO5S/c20-11-5-8-18(28-17-4-2-1-3-13(17)19(24)25)16(9-11)23-29(26,27)12-6-7-14(21)15(22)10-12/h1-10,23H,(H,24,25)","""AuxInfo=1/1/N:6,7,5,8,13,23,24,12,16,29,14,22,4,25,27,17,9,11,2,15,26,28,18,1,3,20,21,10,19/E:(24,25)(26,27)/CRV:29.6/rA:29OCOCCCCCCOCCCCClCCNSOOCCCCClCClC/rB:d1;s2;s2;d4;s5;d6;s7;s4d8;s9;s10;d11;s12;d13;s14;s14;s11d16;s17;s18;d19;d19;s19;d22;s23;d24;s25;s25;s27;s22d27;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;""",P41597_WT,P41597,WT,PubChemAID:489703;CHEMBL1174375,PMID:20627722,2010.0,PubChemAID:489703;PMID:20627722,2010,0.0,0.0,0,0;1,1;0,,=,  8.500;  8.500,8.5,0.0,0.0,2.0,8.5,0.0,papyrus
74,DLTXTHJGLDWETN_on_P41597_WT,Medium,ChEMBL30,CHEMBL2207085,Cn1nnnc1Cc1ccc(Cl)cc1NS(=O)(=O)c1ccc(Cl)c(Cl)c1,O=S(=O)(Nc1ccccc1Cc1nnn[nH]1)c1ccccc1,allosteric,DLTXTHJGLDWETN,DLTXTHJGLDWETN-UHFFFAOYSA-N,"InChI=1S/C15H12Cl3N5O2S/c1-23-15(19-21-22-23)6-9-2-3-10(16)7-14(9)20-26(24,25)11-4-5-12(17)13(18)8-11/h2-5,7-8,20H,6H2,1H3","""AuxInfo=1/0/N:1,9,10,20,21,7,13,26,8,11,19,22,24,14,6,12,23,25,5,15,4,3,2,17,18,16/E:(24,25)/CRV:26.6/rA:26CNNNNCCCCCCClCCNSOOCCCCClCClC/rB:s1;s2;d3;s4;s2d5;s6;s7;d8;s9;d10;s11;s11;s8d13;s14;s15;d16;d16;s16;d19;s20;d21;s22;s22;s24;s19d24;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;""",P41597_WT,P41597,WT,CHEMBL2213079,PMID:23079519,2012.0,PMID:23079519,2012,0.0,0.0,0,1,0,,=,  7.800,7.8,0.0,0.0,1.0,7.8,0.0,papyrus
78,LJXSBDUQEOKBGQ_on_P41597_WT,High,ChEMBL30,CHEMBL1171035,Cc1ncccc1Oc1ncc(C#N)cc1NS(=O)(=O)c1ccc(Cl)c(Cl)c1,O=S(=O)(Nc1cccnc1Oc1cccnc1)c1ccccc1,allosteric,LJXSBDUQEOKBGQ,LJXSBDUQEOKBGQ-UHFFFAOYSA-N,"InChI=1S/C18H12Cl2N4O3S/c1-11-17(3-2-6-22-11)27-18-16(7-12(9-21)10-23-18)24-28(25,26)13-4-5-14(19)15(20)8-13/h2-8,10,24H,1H3","""AuxInfo=1/0/N:1,5,6,22,23,4,15,28,13,11,2,12,21,24,26,16,7,9,25,27,14,3,10,17,19,20,8,18/E:(25,26)/CRV:28.6/rA:28CCNCCCCOCNCCCNCCNSOOCCCCClCClC/rB:s1;d2;s3;d4;s5;s2d6;s7;s8;d9;s10;d11;s12;t13;s12;s9d15;s16;s17;d18;d18;s18;d21;s22;d23;s24;s24;s26;s21d26;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;""",P41597_WT,P41597,WT,CHEMBL1174375,PMID:20627722,2010.0,PMID:20627722,2010,0.0,0.0,0,1,0,,=,  7.300,7.3,0.0,0.0,1.0,7.3,0.0,papyrus
81,,,ChEMBL30,CHEMBL4531005,CC(C)c1[nH]c2nc(N)nn2c(=O)c1Cc1cccc(Cl)c1Cl,O=c1c(Cc2ccccc2)c[nH]c2ncnn12,allosteric,,KLBHHUODQVCBKX-UHFFFAOYSA-N,"InChI=1S/C15H15Cl2N5O/c1-7(2)12-9(6-8-4-3-5-10(16)11(8)17)13(23)22-15(19-12)20-14(18)21-22/h3-5,7H,6H2,1-2H3,(H3,18,19,20,21)",,P41597,P41597,,,31742400,2019.0,10.1021/acs.jmedchem.9b00742,,,,,,,,,,7.89,,,,,,ChEMBL30_2019_22
82,,,ChEMBL30,CHEMBL4571719,Nc1nc2[nH]c(C3CC3)c(Cc3cccc(I)c3)c(=O)n2n1,O=c1c(Cc2ccccc2)c(C2CC2)[nH]c2ncnn12,allosteric,,BZABVFPPOIWHIE-UHFFFAOYSA-N,"InChI=1S/C15H14IN5O/c16-10-3-1-2-8(6-10)7-11-12(9-4-5-9)18-15-19-14(17)20-21(15)13(11)22/h1-3,6,9H,4-5,7H2,(H3,17,18,19,20)",,P41597,P41597,,,31742400,2019.0,10.1021/acs.jmedchem.9b00742,,,,,,,,,,9.06,,,,,,ChEMBL30_2019_22
83,MCLJHXMLKYITBX_on_P41597_WT,High,ChEMBL30;ExCAPE-DB,CHEMBL1170722;49798438,O=S(=O)(Nc1cc(Cl)cnc1Oc1cccnc1)c1ccc(Cl)c(Cl)c1,O=S(=O)(Nc1cccnc1Oc1cccnc1)c1ccccc1,allosteric,MCLJHXMLKYITBX,MCLJHXMLKYITBX-UHFFFAOYSA-N,"InChI=1S/C16H10Cl3N3O3S/c17-10-6-15(16(21-8-10)25-11-2-1-5-20-9-11)22-26(23,24)12-3-4-13(18)14(19)7-12/h1-9,22H","""AuxInfo=1/0/N:15,14,20,21,16,6,26,9,18,7,13,19,22,24,5,11,8,23,25,17,10,4,1,3,12,2/E:(23,24)/CRV:26.6/rA:26OSONCCCClCNCOCCCCNCCCCCClCClC/rB:d1;d2;s2;s4;d5;s6;s7;d7;s9;s5d10;s11;s12;d13;s14;d15;s16;s13d17;s2;d19;s20;d21;s22;s22;s24;s19d24;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;""",P41597_WT,P41597,WT,CHEMBL1174375;PubChemAID:489703,PMID:20627722,2010.0,PMID:20627722;PubChemAID:489703,2010,0.0,0.0,0,1;0,0;1,,=,  7.700;  7.700,7.7,0.0,0.0,2.0,7.7,0.0,papyrus
87,,,ChEMBL30,CHEMBL4547381,CCCCCc1[nH]c2nc(N)nn2c(=O)c1Cc1cccc(Cl)c1,O=c1c(Cc2ccccc2)c[nH]c2ncnn12,allosteric,,WFQUTDBZBQIOGC-UHFFFAOYSA-N,"InChI=1S/C17H20ClN5O/c1-2-3-4-8-14-13(10-11-6-5-7-12(18)9-11)15(24)23-17(20-14)21-16(19)22-23/h5-7,9H,2-4,8,10H2,1H3,(H3,19,20,21,22)",,P41597,P41597,,,31742400,2019.0,10.1021/acs.jmedchem.9b00742,,,,,,,,,,8.14,,,,,,ChEMBL30_2019_22
88,,,ChEMBL30,CHEMBL4569807,CC(C)c1[nH]c2nc(N)nn2c(=O)c1Cc1cc(Br)cc(Br)c1,O=c1c(Cc2ccccc2)c[nH]c2ncnn12,allosteric,,FRAIVWVTZDIGDS-UHFFFAOYSA-N,"InChI=1S/C15H15Br2N5O/c1-7(2)12-11(5-8-3-9(16)6-10(17)4-8)13(23)22-15(19-12)20-14(18)21-22/h3-4,6-7H,5H2,1-2H3,(H3,18,19,20,21)",,P41597,P41597,,,31742400,2019.0,10.1021/acs.jmedchem.9b00742,,,,,,,,,,8.68,,,,,,ChEMBL30_2019_22
90,YISILPLXQXBHSP_on_P41597_WT,High,ChEMBL30;ExCAPE-DB,CHEMBL1171614;49798348,O=C(O)c1c(Oc2ccc(Cl)cc2NS(=O)(=O)c2cccc(Cl)c2)cccc1,O=S(=O)(Nc1ccccc1Oc1ccccc1)c1ccccc1,allosteric,YISILPLXQXBHSP,YISILPLXQXBHSP-UHFFFAOYSA-N,"InChI=1S/C19H13Cl2NO5S/c20-12-4-3-5-14(10-12)28(25,26)22-16-11-13(21)8-9-18(16)27-17-7-2-1-6-15(17)19(23)24/h1-11,22H,(H,23,24)","""AuxInfo=1/1/N:27,26,20,21,19,28,25,9,8,24,12,22,10,18,4,13,5,7,2,23,11,14,1,3,16,17,6,15/E:(23,24)(25,26)/CRV:28.6/rA:28OCOCCOCCCCClCCNSOOCCCCCClCCCCC/rB:d1;s2;s2;d4;s5;s6;d7;s8;d9;s10;s10;s7d12;s13;s14;d15;d15;s15;d18;s19;d20;s21;s22;s18d22;s5;d25;s26;s4d27;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;""",P41597_WT,P41597,WT,CHEMBL1174375;PubChemAID:489703,PMID:20627722,2010.0,PMID:20627722;PubChemAID:489703,2010,0.0,0.0,0,1;0,0;1,,=,  8.100;  8.100,8.1,0.0,0.0,2.0,8.1,0.0,papyrus
92,NEHQWOQOBXQTPU_on_P41597_WT,High,ChEMBL30;ExCAPE-DB,CHEMBL1171787;49798350,O=C(O)c1c(Oc2ccc(Cl)cc2NS(=O)(=O)c2ccc(Cl)s2)cccc1,O=S(=O)(Nc1ccccc1Oc1ccccc1)c1cccs1,allosteric,NEHQWOQOBXQTPU,NEHQWOQOBXQTPU-UHFFFAOYSA-N,"InChI=1S/C17H11Cl2NO5S2/c18-10-5-6-14(25-13-4-2-1-3-11(13)17(21)22)12(9-10)20-27(23,24)16-8-7-15(19)26-16/h1-9,20H,(H,21,22)","""AuxInfo=1/1/N:26,25,27,24,9,8,20,19,12,10,4,13,5,7,21,18,2,11,22,14,1,3,16,17,6,23,15/E:(21,22)(23,24)/CRV:27.6/rA:27OCOCCOCCCCClCCNSOOCCCCClSCCCC/rB:d1;s2;s2;d4;s5;s6;d7;s8;d9;s10;s10;s7d12;s13;s14;d15;d15;s15;d18;s19;d20;s21;s18s21;s5;d24;s25;s4d26;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;""",P41597_WT,P41597,WT,CHEMBL1174375;PubChemAID:489703,PMID:20627722,2010.0,PMID:20627722;PubChemAID:489703,2010,0.0,0.0,0,1;0,0;1,,=,  8.300;  8.300,8.3,0.0,0.0,2.0,8.3,0.0,papyrus
95,MCUUHFLEFBJLQG_on_P41597_WT,High,ChEMBL30,CHEMBL1924018,Cc1cc(Oc2ccc(C(=O)NCCN3CCCC3)cc2)c(NS(=O)(=O)c2ccc(Cl)c(C(F)(F)F)c2)cc1Cl,O=C(NCCN1CCCC1)c1ccc(Oc2ccccc2NS(=O)(=O)c2ccccc2)cc1,allosteric,MCUUHFLEFBJLQG,MCUUHFLEFBJLQG-UHFFFAOYSA-N,"InChI=1S/C27H26Cl2F3N3O4S/c1-17-14-25(39-19-6-4-18(5-7-19)26(36)33-10-13-35-11-2-3-12-35)24(16-23(17)29)34-40(37,38)20-8-9-22(28)21(15-20)27(30,31)32/h4-9,14-16,34H,2-3,10-13H2,1H3,(H,33,36)","""AuxInfo=1/1/N:1,17,18,8,20,7,21,28,29,13,16,19,14,3,37,38,2,9,6,27,32,30,39,22,4,10,33,31,40,34,35,36,12,23,15,11,25,26,5,24/E:(2,3)(4,5)(6,7)(11,12)(30,31,32)(37,38)/CRV:40.6/rA:40CCCCOCCCCCONCCNCCCCCCCNSOOCCCCClCCFFFCCCCl/rB:s1;d2;s3;s4;s5;d6;s7;d8;s9;d10;s10;s12;s13;s14;s15;s16;s17;s15s18;s9;s6d20;d4;s22;s23;d24;d24;s24;d27;s28;d29;s30;s30;s32;s33;s33;s33;s27d32;s22;s2d38;s39;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;""",P41597_WT,P41597,WT,CHEMBL1925747;CHEMBL1925695,PMID:22047688,2011.0,PMID:22047688,2011,0.0,0.0,1;0,0;1,0,,=,  6.400;  8.100,7.25,0.85,0.85,2.0,7.25,0.85,papyrus
98,,,ChEMBL30,CHEMBL4783861,N#CSCCNC(=O)c1ccc(Oc2ccc(Cl)cc2NS(=O)(=O)c2ccc(Cl)c(C(F)(F)F)c2)cc1,O=S(=O)(Nc1ccccc1Oc1ccccc1)c1ccccc1,allosteric,,FKIPEBVDUWFIIM-UHFFFAOYSA-N,"InChI=1S/C23H16Cl2F3N3O4S2/c24-15-3-8-21(35-16-4-1-14(2-5-16)22(32)30-9-10-36-13-29)20(11-15)31-37(33,34)17-6-7-19(25)18(12-17)23(26,27)28/h1-8,11-12,31H,9-10H2,(H,30,32)",,P41597,P41597,,,33600174,2021.0,10.1021/acs.jmedchem.0c01137,,,,,,,,,,8.4,,,,,,ChEMBL30_2019_22
102,BBRSCGBAIAKATH_on_P41597_WT,High,ChEMBL30,CHEMBL376981,O=C(O)c1cc2c(ccc(O)c2)n1Cc1cc(Cl)c(Cl)cc1,c1ccc(Cn2ccc3ccccc32)cc1,allosteric,BBRSCGBAIAKATH,BBRSCGBAIAKATH-UHFFFAOYSA-N,"InChI=1S/C16H11Cl2NO3/c17-12-3-1-9(5-13(12)18)8-19-14-4-2-11(20)6-10(14)7-15(19)16(21)22/h1-7,20H,8H2,(H,21,22)","""AuxInfo=1/1/N:22,9,21,8,16,12,5,14,15,6,10,19,17,7,4,2,20,18,13,11,1,3/E:(21,22)/rA:22OCOCCCCCCCOCNCCCCClCClCC/rB:d1;s2;s2;d4;s5;d6;s7;d8;s9;s10;s6d10;s4s7;s13;s14;d15;s16;s17;d17;s19;s19;s15d21;/rC:;;;;;;;;;;;;;;;;;;;;;;""",P41597_WT,P41597,WT,CHEMBL863683,PMID:16698264,2006.0,PMID:16698264,2006,0.0,0.0,0,1,0,,=,  7.540,7.54,0.0,0.0,1.0,7.54,0.0,papyrus
103,,,ChEMBL30,CHEMBL4517518,Nc1nc2[nH]c(C3CC3)c(Cc3cccc(Cl)c3)c(=O)n2n1,O=c1c(Cc2ccccc2)c(C2CC2)[nH]c2ncnn12,allosteric,,YLVBQGLIQXQGPH-UHFFFAOYSA-N,"InChI=1S/C15H14ClN5O/c16-10-3-1-2-8(6-10)7-11-12(9-4-5-9)18-15-19-14(17)20-21(15)13(11)22/h1-3,6,9H,4-5,7H2,(H3,17,18,19,20)",,P41597,P41597,,,31742400,2019.0,10.1021/acs.jmedchem.9b00742,,,,,,,,,,8.9,,,,,,ChEMBL30_2019_22
105,OKRVKTSEZMPOFP_on_P41597_WT,Medium,ChEMBL30,CHEMBL133075,O=C(O)c1c(C(=O)O)n(Cc2cc(Cl)c(Cl)cc2)c2c1cccc2,c1ccc(Cn2ccc3ccccc32)cc1,allosteric,OKRVKTSEZMPOFP,OKRVKTSEZMPOFP-UHFFFAOYSA-N,"InChI=1S/C17H11Cl2NO4/c18-11-6-5-9(7-12(11)19)8-20-13-4-2-1-3-10(13)14(16(21)22)15(20)17(23)24/h1-7H,8H2,(H,21,22)(H,23,24)","""AuxInfo=1/1/N:22,23,21,24,18,17,12,10,11,20,15,13,19,4,5,2,6,16,14,9,1,3,7,8/E:(21,22)(23,24)/rA:24OCOCCCOONCCCCClCClCCCCCCCC/rB:d1;s2;s2;d4;s5;d6;s6;s5;s9;s10;d11;s12;s13;d13;s15;s15;s11d17;s9;s4d19;s20;d21;s22;s19d23;/rC:;;;;;;;;;;;;;;;;;;;;;;;;""",P41597_WT,P41597,WT,CHEMBL655684,PMID:14698169,2004.0,PMID:14698169,2004,1.0,0.0,0,0,0,,=,  7.020,7.02,0.0,0.0,1.0,7.02,0.0,papyrus
106,BKRGCNBSJMTXDH_on_P41597_WT,High,ChEMBL30,CHEMBL1169995,N#Cc1ccc(Oc2ncc(Cl)cc2NS(=O)(=O)c2ccc(Cl)c(Cl)c2)cn1,O=S(=O)(Nc1cccnc1Oc1cccnc1)c1ccccc1,allosteric,BKRGCNBSJMTXDH,BKRGCNBSJMTXDH-UHFFFAOYSA-N,"InChI=1S/C17H9Cl3N4O3S/c18-10-5-16(24-28(25,26)13-3-4-14(19)15(20)6-13)17(23-8-10)27-12-2-1-11(7-21)22-9-12/h1-6,8-9,24H","""AuxInfo=1/0/N:4,5,20,21,13,26,2,10,27,11,3,6,19,22,24,14,8,12,23,25,1,28,9,15,17,18,7,16/E:(25,26)/CRV:28.6/rA:28NCCCCCOCNCCClCCNSOOCCCCClCClCCN/rB:t1;s2;d3;s4;d5;s6;s7;d8;s9;d10;s11;s11;s8d13;s14;s15;d16;d16;s16;d19;s20;d21;s22;s22;s24;s19d24;s6;s3d27;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;""",P41597_WT,P41597,WT,CHEMBL1174375,PMID:20627722,2010.0,PMID:20627722,2010,0.0,0.0,0,1,0,,=,  7.800,7.8,0.0,0.0,1.0,7.8,0.0,papyrus
108,NJXAMPZWYFRQTL_on_P41597_WT,High,ExCAPE-DB;ChEMBL30;ChEMBL30,57393497;CHEMBL1924022;CHEMBL1924022,COc1cc(C(=O)NCCN2CCCCC2)ccc1Oc1ccc(Cl)cc1NS(=O)(=O)c1ccc(Cl)c(C(F)(F)F)c1,O=C(NCCN1CCCCC1)c1ccc(Oc2ccccc2NS(=O)(=O)c2ccccc2)cc1,allosteric,NJXAMPZWYFRQTL,NJXAMPZWYFRQTL-UHFFFAOYSA-N,"InChI=1S/C28H28Cl2F3N3O5S/c1-40-26-15-18(27(37)34-11-14-36-12-3-2-4-13-36)5-9-25(26)41-24-10-6-19(29)16-23(24)35-42(38,39)20-7-8-22(30)21(17-20)28(31,32)33/h5-10,15-17,35H,2-4,11-14H2,1H3,(H,34,37)","""AuxInfo=1/1/N:1,14,13,15,17,23,33,34,18,22,9,12,16,10,4,26,42,5,24,32,37,35,27,21,19,3,6,38,25,36,39,40,41,8,28,11,7,30,31,2,20,29/E:(3,4)(12,13)(31,32,33)(38,39)/CRV:42.6/rA:42COCCCCONCCNCCCCCCCCOCCCCClCCNSOOCCCCClCCFFFC/rB:s1;s2;d3;s4;s5;d6;s6;s8;s9;s10;s11;s12;s13;s14;s11s15;d5;s17;s3d18;s19;s20;d21;s22;d23;s24;s24;s21d26;s27;s28;d29;d29;s29;d32;s33;d34;s35;s35;s37;s38;s38;s38;s32d37;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;""",P41597_WT,P41597,WT,PubChemAID:633586;CHEMBL1925747;CHEMBL1925695,PMID:22047688,2011.0,PubChemAID:633586;PMID:22047688;PMID:22047688,2012;2011;2011,0.0,0.0,0;1;0,0;0;1,1;0;0,,=,  7.602;  6.000;  7.600,7.067,0.755,0.534,3.0,7.6,0.002,papyrus
