,Activity_ID,Quality,source,CID,SMILES,SMILES_Murcko,ligandtype,connectivity,InChIKey,InChI,InChI_AuxInfo,target_id,accession,Protein_Type,AID,doc_id,Year,all_doc_ids,all_years,type_IC50,type_EC50,type_KD,type_Ki,type_other,Activity_class,relation,pchembl_value,pchembl_value_Mean,pchembl_value_StdDev,pchembl_value_SEM,pchembl_value_N,pchembl_value_Median,pchembl_value_MAD,database
38,,,ChEMBL30,CHEMBL4474089,Cc1[nH]c2nc(N)nn2c(=O)c1Cc1cccc(Cl)c1,O=c1c(Cc2ccccc2)c[nH]c2ncnn12,allosteric,,DHANRKGLGYXNOD-UHFFFAOYSA-N,"InChI=1S/C13H12ClN5O/c1-7-10(6-8-3-2-4-9(14)5-8)11(20)19-13(16-7)17-12(15)18-19/h2-5H,6H2,1H3,(H3,15,16,17,18)",,P41597,P41597,,,31742400,2019.0,10.1021/acs.jmedchem.9b00742,,,,,,,,,,7.78,,,,,,ChEMBL30_2019_22
40,,,ChEMBL30,CHEMBL4529401,COc1cccc(Cc2c(C3CC3)[nH]c3nc(N)nn3c2=O)c1,O=c1c(Cc2ccccc2)c(C2CC2)[nH]c2ncnn12,allosteric,,GPTMWEUDRCZRPM-UHFFFAOYSA-N,"InChI=1S/C16H17N5O2/c1-23-11-4-2-3-9(7-11)8-12-13(10-5-6-10)18-16-19-15(17)20-21(16)14(12)22/h2-4,7,10H,5-6,8H2,1H3,(H3,17,18,19,20)",,P41597,P41597,,,31742400,2019.0,10.1021/acs.jmedchem.9b00742,,,,,,,,,,7.89,,,,,,ChEMBL30_2019_22
42,,,ChEMBL30,CHEMBL4519152,CC(=O)C1=C(O)C(=O)N(c2ccc(Cl)cc2F)C1C1CCCCC1,O=C1C=CC(C2CCCCC2)N1c1ccccc1,allosteric,,VQNLJXWZGVRLBA-MRXNPFEDSA-N,"InChI=1S/C18H19ClFNO3/c1-10(22)15-16(11-5-3-2-4-6-11)21(18(24)17(15)23)14-8-7-12(19)9-13(14)20/h7-9,11,16,23H,2-6H2,1H3/t16-/m1/s1",,P41597,P41597,,,33600174,2021.0,10.1021/acs.jmedchem.0c01137,,,,,,,,,,7.9,,,,,,ChEMBL30_2019_22
46,,,ChEMBL30,CHEMBL4548107,Nc1nc2[nH]c(C3CC3)c(Cc3ccc(Cl)cc3)c(=O)n2n1,O=c1c(Cc2ccccc2)c(C2CC2)[nH]c2ncnn12,allosteric,,HAZUXFVCMUSZHN-UHFFFAOYSA-N,"InChI=1S/C15H14ClN5O/c16-10-5-1-8(2-6-10)7-11-12(9-3-4-9)18-15-19-14(17)20-21(15)13(11)22/h1-2,5-6,9H,3-4,7H2,(H3,17,18,19,20)",,P41597,P41597,,,31742400,2019.0,10.1021/acs.jmedchem.9b00742,,,,,,,,,,8.74,,,,,,ChEMBL30_2019_22
48,,,ChEMBL30,CHEMBL4448714,Nc1nc2[nH]c(C3CC3)c(Cc3ccc(F)cc3)c(=O)n2n1,O=c1c(Cc2ccccc2)c(C2CC2)[nH]c2ncnn12,allosteric,,NNOMKTGTYDPKHI-UHFFFAOYSA-N,"InChI=1S/C15H14FN5O/c16-10-5-1-8(2-6-10)7-11-12(9-3-4-9)18-15-19-14(17)20-21(15)13(11)22/h1-2,5-6,9H,3-4,7H2,(H3,17,18,19,20)",,P41597,P41597,,,31742400,2019.0,10.1021/acs.jmedchem.9b00742,,,,,,,,,,8.39,,,,,,ChEMBL30_2019_22
52,ZDAODXGSQUSEHO_on_P41597_WT,High,ChEMBL30,CHEMBL2207080,O=S(=O)(Nc1cc(Cl)ccc1Cn1nnnc1C1CC1)c1ccc(Cl)c(Cl)c1,O=S(=O)(Nc1ccccc1Cn1nnnc1C1CC1)c1ccccc1,allosteric,ZDAODXGSQUSEHO,ZDAODXGSQUSEHO-UHFFFAOYSA-N,"InChI=1S/C17H14Cl3N5O2S/c18-12-4-3-11(9-25-17(10-1-2-10)21-23-24-25)16(7-12)22-28(26,27)13-5-6-14(19)15(20)8-13/h3-8,10,22H,1-2,9H2","""AuxInfo=1/0/N:19,20,10,9,22,23,6,28,12,18,11,7,21,24,26,5,17,8,25,27,16,4,15,14,13,1,3,2/E:(1,2)(26,27)/CRV:28.6/rA:28OSONCCCClCCCCNNNNCCCCCCCCClCClC/rB:d1;d2;s2;s4;d5;s6;s7;d7;s9;s5d10;s11;s12;s13;d14;s15;s13d16;s17;s18;s18s19;s2;d21;s22;d23;s24;s24;s26;s21d26;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;""",P41597_WT,P41597,WT,CHEMBL2213075;CHEMBL2213076,PMID:23079519,2012.0,PMID:23079519,2012,0.0,0.0,0,1,0,,=,  7.000;  7.000,7.0,0.0,0.0,2.0,7.0,0.0,papyrus
54,,,ChEMBL30,CHEMBL4463383,Nc1nc2[nH]c(C3CC3)c(Cc3cccc(C(F)(F)F)c3)c(=O)n2n1,O=c1c(Cc2ccccc2)c(C2CC2)[nH]c2ncnn12,allosteric,,VJOUWHSXSNYAFP-UHFFFAOYSA-N,"InChI=1S/C16H14F3N5O/c17-16(18,19)10-3-1-2-8(6-10)7-11-12(9-4-5-9)21-15-22-14(20)23-24(15)13(11)25/h1-3,6,9H,4-5,7H2,(H3,20,21,22,23)",,P41597,P41597,,,31742400,2019.0,10.1021/acs.jmedchem.9b00742,,,,,,,,,,8.26,,,,,,ChEMBL30_2019_22
56,,,ChEMBL30,CHEMBL4577171,Nc1nc2[nH]c(C3CC3)c(Cc3cccc(Br)c3)c(=O)n2n1,O=c1c(Cc2ccccc2)c(C2CC2)[nH]c2ncnn12,allosteric,,AEHODMQBMLUHNX-UHFFFAOYSA-N,"InChI=1S/C15H14BrN5O/c16-10-3-1-2-8(6-10)7-11-12(9-4-5-9)18-15-19-14(17)20-21(15)13(11)22/h1-3,6,9H,4-5,7H2,(H3,17,18,19,20)",,P41597,P41597,,,31742400,2019.0,10.1021/acs.jmedchem.9b00742,,,,,,,,,,9.08,,,,,,ChEMBL30_2019_22
59,,,ChEMBL30,CHEMBL4458846,COc1ccc(Cc2c(C3CC3)[nH]c3nc(N)nn3c2=O)cc1,O=c1c(Cc2ccccc2)c(C2CC2)[nH]c2ncnn12,allosteric,,ZWVDZTWGUSUJQB-UHFFFAOYSA-N,"InChI=1S/C16H17N5O2/c1-23-11-6-2-9(3-7-11)8-12-13(10-4-5-10)18-16-19-15(17)20-21(16)14(12)22/h2-3,6-7,10H,4-5,8H2,1H3,(H3,17,18,19,20)",,P41597,P41597,,,31742400,2019.0,10.1021/acs.jmedchem.9b00742,,,,,,,,,,7.68,,,,,,ChEMBL30_2019_22
60,,,ChEMBL30,CHEMBL4454297,Nc1nc2[nH]c(C3CC3)c(Cc3ccccc3Cl)c(=O)n2n1,O=c1c(Cc2ccccc2)c(C2CC2)[nH]c2ncnn12,allosteric,,KVUGTJLGURQXEE-UHFFFAOYSA-N,"InChI=1S/C15H14ClN5O/c16-11-4-2-1-3-9(11)7-10-12(8-5-6-8)18-15-19-14(17)20-21(15)13(10)22/h1-4,8H,5-7H2,(H3,17,18,19,20)",,P41597,P41597,,,31742400,2019.0,10.1021/acs.jmedchem.9b00742,,,,,,,,,,7.84,,,,,,ChEMBL30_2019_22
